id,sentence
35,"
    Dear Customer,

    Invoice Number: INV-2023-110
    Invoice Date: 2023-3-1
    Due Date: 2023-3-11

    Billing Information:
    Recipient Name: Taylor Ferrell
    Recipient Address: 15351 David Lodge Suite 972, Austinton, Rhode Island 40716

    Product Details:
    - Description: work Keyboard X1
      Quantity: 4
      Unit Price: $858.04
    - Description: level Mouse W1
      Quantity: 1
      Unit Price: $81.77

    Balance Due: $194996214.0767319

    Thank you for your business!
    "
36,"
    Dear Customer,

    Invoice Number: INV-2023-563
    Invoice Date: 2023-3-14
    Due Date: 2023-6-5

    Billing Information:
    Recipient Name: William Schmidt
    Recipient Address: 3844 Davidson Isle, Port Tracy, Nevada 87715

    Product Details:
    - Description: main Monitor X1
      Quantity: 2
      Unit Price: $638.63
    - Description: popular Scanner H6
      Quantity: 1
      Unit Price: $27.65

    Balance Due: $615570520.1298803

    Thank you for your business!
    "
37,"
    Dear Customer,

    Invoice Number: INV-2023-946
    Invoice Date: 2023-9-22
    Due Date: 2023-9-1

    Billing Information:
    Recipient Name: Brian Horn
    Recipient Address: 84265 Kent Locks, Dennisville, Texas 69986

    Product Details:
    - Description: reality Tablet X1
      Quantity: 1
      Unit Price: $862.02
    - Description: trip Headphones S4
      Quantity: 2
      Unit Price: $179.24

    Balance Due: $510215960.5575217

    Thank you for your business!
    "
38,"
    Dear Customer,

    Invoice Number: INV-2023-405
    Invoice Date: 2023-12-10
    Due Date: 2023-1-9

    Billing Information:
    Recipient Name: Cristian Garcia
    Recipient Address: 26541 Cruz Fords Apt. 680, West Reneebury, Florida 29689

    Product Details:
    - Description: open Laptop M2
      Quantity: 5
      Unit Price: $203.91
    - Description: star Printer M3
      Quantity: 4
      Unit Price: $148.61

    Balance Due: $403545460.75843316

    Thank you for your business!
    "
39,"
    Dear Customer,

    Invoice Number: INV-2023-823
    Invoice Date: 2023-10-5
    Due Date: 2023-7-10

    Billing Information:
    Recipient Name: Richard Petersen
    Recipient Address: 19561 Reed Spurs, Sethberg, New York 57628

    Product Details:
    - Description: her Laptop M2
      Quantity: 3
      Unit Price: $85.38
    - Description: which Printer H6
      Quantity: 3
      Unit Price: $97.42

    Balance Due: $341964368.4091624

    Thank you for your business!
    "
40,"
    Dear Customer,

    Invoice Number: INV-2023-643
    Invoice Date: 2023-7-16
    Due Date: 2023-7-3

    Billing Information:
    Recipient Name: Elizabeth Osborn
    Recipient Address: 5406 Daniel Curve Suite 418, Martinton, Tennessee 41781

    Product Details:
    - Description: together Laptop T5
      Quantity: 5
      Unit Price: $860.96
    - Description: well Printer P2
      Quantity: 1
      Unit Price: $12.05

    Balance Due: $100743855.40937428

    Thank you for your business!
    "
41,"
    Dear Customer,

    Invoice Number: INV-2023-364
    Invoice Date: 2023-10-9
    Due Date: 2023-9-7

    Billing Information:
    Recipient Name: Samuel Hall
    Recipient Address: 177 Smith Courts Suite 488, Lake Thomas, Hawaii 55560

    Product Details:
    - Description: exactly Keyboard M2
      Quantity: 4
      Unit Price: $299.41
    - Description: computer Scanner M3
      Quantity: 5
      Unit Price: $116.82

    Balance Due: $174400881.0594421

    Thank you for your business!
    "
42,"
    Dear Customer,

    Invoice Number: INV-2023-635
    Invoice Date: 2023-1-15
    Due Date: 2023-11-13

    Billing Information:
    Recipient Name: Catherine Ware MD
    Recipient Address: 944 Stacy Stravenue, East Andreburgh, Mississippi 15692

    Product Details:
    - Description: later Keyboard X1
      Quantity: 2
      Unit Price: $641.45
    - Description: company Webcam W1
      Quantity: 1
      Unit Price: $135.02

    Balance Due: $745438532.975442

    Thank you for your business!
    "
43,"
    Dear Customer,

    Invoice Number: INV-2023-352
    Invoice Date: 2023-10-21
    Due Date: 2023-4-10

    Billing Information:
    Recipient Name: Luke Mcdonald
    Recipient Address: 084 Sheila Wall, Wadeville, Nevada 64076

    Product Details:
    - Description: factor Monitor M2
      Quantity: 3
      Unit Price: $745.75
    - Description: our Printer P2
      Quantity: 2
      Unit Price: $199.14

    Balance Due: $451697149.7715137

    Thank you for your business!
    "
44,"
    Dear Customer,

    Invoice Number: INV-2023-988
    Invoice Date: 2023-8-18
    Due Date: 2023-1-12

    Billing Information:
    Recipient Name: Tracy Patterson
    Recipient Address: 44385 Catherine Lights, North Amy, Nevada 03906

    Product Details:
    - Description: guess Monitor S3
      Quantity: 2
      Unit Price: $640.24
    - Description: popular Printer H6
      Quantity: 2
      Unit Price: $17.96

    Balance Due: $273791199.97342026

    Thank you for your business!
    "
45,"
    Dear Customer,

    Invoice Number: INV-2023-689
    Invoice Date: 2023-1-11
    Due Date: 2023-9-10

    Billing Information:
    Recipient Name: Michael Cruz
    Recipient Address: 4026 Harrison Road, East Alisonside, Mississippi 55099

    Product Details:
    - Description: energy Tablet K4
      Quantity: 2
      Unit Price: $601.68
    - Description: window Mouse H6
      Quantity: 4
      Unit Price: $188.00

    Balance Due: $732415266.2919502

    Thank you for your business!
    "
46,"
    Dear Customer,

    Invoice Number: INV-2023-386
    Invoice Date: 2023-3-23
    Due Date: 2023-8-22

    Billing Information:
    Recipient Name: Anthony Bauer
    Recipient Address: 1892 Bruce Ports, Bentleymouth, Mississippi 58684

    Product Details:
    - Description: case Keyboard M2
      Quantity: 3
      Unit Price: $618.86
    - Description: couple Webcam M3
      Quantity: 2
      Unit Price: $101.65

    Balance Due: $336087758.0955261

    Thank you for your business!
    "
47,"
    Dear Customer,

    Invoice Number: INV-2023-223
    Invoice Date: 2023-7-4
    Due Date: 2023-3-19

    Billing Information:
    Recipient Name: Teresa Allen
    Recipient Address: 1205 Crawford Ford Apt. 673, New Thomasstad, South Dakota 00902

    Product Details:
    - Description: professional Keyboard M2
      Quantity: 3
      Unit Price: $753.20
    - Description: party Mouse W1
      Quantity: 2
      Unit Price: $32.36

    Balance Due: $692707872.9178799

    Thank you for your business!
    "
48,"
    Dear Customer,

    Invoice Number: INV-2023-221
    Invoice Date: 2023-4-11
    Due Date: 2023-11-26

    Billing Information:
    Recipient Name: Clayton Anderson
    Recipient Address: 63034 Patrick Forge Apt. 449, Jameshaven, Maryland 03001

    Product Details:
    - Description: energy Keyboard T5
      Quantity: 5
      Unit Price: $299.78
    - Description: far Scanner P2
      Quantity: 2
      Unit Price: $143.43

    Balance Due: $671103694.7558248

    Thank you for your business!
    "
49,"
    Dear Customer,

    Invoice Number: INV-2023-363
    Invoice Date: 2023-2-21
    Due Date: 2023-6-13

    Billing Information:
    Recipient Name: Connie Stanley
    Recipient Address: 346 Amber Rue Apt. 503, East Rachel, Pennsylvania 73688

    Product Details:
    - Description: seek Tablet T5
      Quantity: 5
      Unit Price: $841.50
    - Description: citizen Printer S4
      Quantity: 4
      Unit Price: $55.22

    Balance Due: $245862211.6176552

    Thank you for your business!
    "
50,"
    Dear Customer,

    Invoice Number: INV-2023-368
    Invoice Date: 2023-12-23
    Due Date: 2023-5-8

    Billing Information:
    Recipient Name: Mary Robinson
    Recipient Address: 9457 Wagner Island, Melissaside, Nebraska 83601

    Product Details:
    - Description: officer Monitor T5
      Quantity: 5
      Unit Price: $614.19
    - Description: sometimes Headphones W1
      Quantity: 4
      Unit Price: $47.20

    Balance Due: $420980113.83169144

    Thank you for your business!
    "
51,"
    Dear Customer,

    Invoice Number: INV-2023-392
    Invoice Date: 2023-3-4
    Due Date: 2023-8-20

    Billing Information:
    Recipient Name: John Morris
    Recipient Address: 1973 Rodriguez Meadows Apt. 057, Stevenfort, North Carolina 15727

    Product Details:
    - Description: look Keyboard X1
      Quantity: 3
      Unit Price: $69.28
    - Description: machine Headphones W1
      Quantity: 1
      Unit Price: $125.48

    Balance Due: $324856080.2250516

    Thank you for your business!
    "
52,"
    Dear Customer,

    Invoice Number: INV-2023-629
    Invoice Date: 2023-6-28
    Due Date: 2023-3-1

    Billing Information:
    Recipient Name: Samuel Taylor
    Recipient Address: 88680 Wolfe Island, North Stephenton, Minnesota 95548

    Product Details:
    - Description: admit Laptop K4
      Quantity: 4
      Unit Price: $830.17
    - Description: include Headphones M3
      Quantity: 1
      Unit Price: $93.51

    Balance Due: $863867273.959625

    Thank you for your business!
    "
53,"
    Dear Customer,

    Invoice Number: INV-2023-508
    Invoice Date: 2023-1-1
    Due Date: 2023-2-25

    Billing Information:
    Recipient Name: Jamie Daniels
    Recipient Address: 501 Black Walk Suite 839, Lake Cindymouth, Wisconsin 60552

    Product Details:
    - Description: table Smartphone T5
      Quantity: 3
      Unit Price: $964.94
    - Description: music Mouse W1
      Quantity: 2
      Unit Price: $81.44

    Balance Due: $806503331.4275047

    Thank you for your business!
    "
54,"
    Dear Customer,

    Invoice Number: INV-2023-440
    Invoice Date: 2023-7-20
    Due Date: 2023-11-22

    Billing Information:
    Recipient Name: Christina Scott
    Recipient Address: 4195 Wilson Rapids, South Melinda, Indiana 59783

    Product Details:
    - Description: red Tablet M2
      Quantity: 5
      Unit Price: $210.47
    - Description: task Scanner W1
      Quantity: 4
      Unit Price: $198.17

    Balance Due: $115067263.89115538

    Thank you for your business!
    "
55,"
    Dear Customer,

    Invoice Number: INV-2023-521
    Invoice Date: 2023-2-12
    Due Date: 2023-1-16

    Billing Information:
    Recipient Name: Luis Barrett
    Recipient Address: 462 Haas Greens Apt. 806, Christinefurt, Pennsylvania 86278

    Product Details:
    - Description: must Monitor K4
      Quantity: 5
      Unit Price: $358.72
    - Description: series Scanner S4
      Quantity: 2
      Unit Price: $95.17

    Balance Due: $952149200.0022936

    Thank you for your business!
    "
56,"
    Dear Customer,

    Invoice Number: INV-2023-952
    Invoice Date: 2023-7-19
    Due Date: 2023-4-27

    Billing Information:
    Recipient Name: Denise Christensen
    Recipient Address: 40524 Ryan Flats, Lake Michelle, Delaware 88462

    Product Details:
    - Description: important Tablet M2
      Quantity: 2
      Unit Price: $727.88
    - Description: throughout Webcam W1
      Quantity: 2
      Unit Price: $18.47

    Balance Due: $313816166.7854215

    Thank you for your business!
    "
57,"
    Dear Customer,

    Invoice Number: INV-2023-912
    Invoice Date: 2023-11-27
    Due Date: 2023-2-5

    Billing Information:
    Recipient Name: Nicholas Jackson
    Recipient Address: 75783 Moore Station Apt. 519, South Donnafort, Maryland 58476

    Product Details:
    - Description: board Smartphone K4
      Quantity: 2
      Unit Price: $750.75
    - Description: finish Mouse S4
      Quantity: 5
      Unit Price: $141.04

    Balance Due: $965037567.134876

    Thank you for your business!
    "
58,"
    Dear Customer,

    Invoice Number: INV-2023-373
    Invoice Date: 2023-10-11
    Due Date: 2023-3-5

    Billing Information:
    Recipient Name: Jaclyn Pope
    Recipient Address: 091 Hughes Mills Apt. 924, Maryville, Louisiana 11102

    Product Details:
    - Description: future Smartphone X1
      Quantity: 5
      Unit Price: $572.62
    - Description: describe Printer P2
      Quantity: 3
      Unit Price: $57.28

    Balance Due: $729276823.9767102

    Thank you for your business!
    "
59,"
    Dear Customer,

    Invoice Number: INV-2023-877
    Invoice Date: 2023-11-11
    Due Date: 2023-7-9

    Billing Information:
    Recipient Name: Alex Combs
    Recipient Address: 469 Mendoza Overpass, Port Benjamin, Indiana 95330

    Product Details:
    - Description: happen Monitor K4
      Quantity: 3
      Unit Price: $333.80
    - Description: field Scanner S4
      Quantity: 4
      Unit Price: $63.06

    Balance Due: $318324639.08856416

    Thank you for your business!
    "
60,"
    Dear Customer,

    Invoice Number: INV-2023-550
    Invoice Date: 2023-12-3
    Due Date: 2023-6-14

    Billing Information:
    Recipient Name: Haley Johnson
    Recipient Address: 48496 David Knolls Suite 563, East Patrickmouth, South Carolina 33321

    Product Details:
    - Description: population Laptop K4
      Quantity: 2
      Unit Price: $852.35
    - Description: summer Webcam S4
      Quantity: 1
      Unit Price: $85.49

    Balance Due: $193894580.26253742

    Thank you for your business!
    "
61,"
    Dear Customer,

    Invoice Number: INV-2023-221
    Invoice Date: 2023-8-22
    Due Date: 2023-5-13

    Billing Information:
    Recipient Name: James Thompson
    Recipient Address: 3494 Evans Forges, New Sandra, South Carolina 37529

    Product Details:
    - Description: customer Keyboard M2
      Quantity: 2
      Unit Price: $284.32
    - Description: away Scanner S4
      Quantity: 5
      Unit Price: $10.65

    Balance Due: $88148962.91401395

    Thank you for your business!
    "
